,rating,difficulty,stream_total,breakdown,stream_count,stream_size_max,stream_size_avg,stream_size_std,break_count,break_size_max,break_size_avg,break_total,break_size_std,measure_count,jumps,hands,quads,mines,holds,rolls,step_count,song_nps,nps_per_measure_max,nps_per_measure_avg,nps_per_measure_median,nps_per_measure_std,nps_per_measure_mode,crossovers,footswitches,crossover_footswitches,jacks,invalid_crossovers,title,artist,song_seconds,bpm_change_count,stop_count,bpm_max,bpm_min,bpm_weighted_avg,bpm_mode
0,15,Hard,53,(30)-1-(1)-3-(1)-7-(1)-3-(13)-3-(1)-6-(40)-1-(1)-16-(16)-3-(1)-7-(1)-3-(18),11,16,4.818181818181818,4.261881786680195,12,40,10.333333333333334,124,13.39832644456581,177,10,0,0,1,24,0,1574,7.410546139359719,13.333333333333334,7.410546139359699,6.666666666666667,4.738656232992803,13.333333333333334,16,46,3,2,8,Alice In Voodooland ,RoughSketch feat.Aikapin,212.3999999999994,0,0,200.0,200.0,200.0,200.0
1,16,Challenge,86,(30)-1-(1)-3-(1)-7-(1)-3-(9)-3-(1)-3-(1)-6-(10)-16-(14)-1-(1)-30-(2)-3-(1)-7-(1)-3-(18),13,30,6.615384615384615,8.047136773810314,14,30,6.5,91,8.864362530770224,177,10,0,0,1,24,0,1806,8.502824858757085,13.333333333333334,8.502824858757062,10.833333333333334,5.251216627196232,13.333333333333334,8,25,1,1,4,Alice In Voodooland ,RoughSketch feat.Aikapin,212.3999999999994,0,0,200.0,200.0,200.0,200.0
2,13,Hard,68,(28)-2-(18)-7-(1)-7-(1)-2-(2)-3-(1)-2-(2)-2-(30)-2-(2)-16-(12)-2-(2)-16-(24)-7-(19),12,16,5.666666666666667,5.280036730818061,13,30,10.923076923076923,142,11.390504367392595,210,26,0,0,0,69,0,1988,6.902777777777795,11.666666666666666,6.902777777777778,5.833333333333333,3.903051033738256,11.666666666666666,1,4,1,1,5,Bottom Of The Thought,DJ Myosuke,287.99999999999926,0,0,175.0,175.0,175.0,175.0
3,14,Challenge,106,(28)-2-(2)-7-(1)-7-(1)-7-(1)-7-(1)-7-(1)-7-(29)-2-(2)-16-(12)-2-(2)-19-(1)-5-(1)-4-(2)-7-(1)-7-(19),15,19,7.066666666666666,4.727830469928142,16,29,6.5,104,9.92639578766298,210,25,0,0,0,69,0,2260,7.847222222222243,11.666666666666666,7.847222222222221,10.9375,4.253558848893831,11.666666666666666,1,5,1,1,6,Bottom Of The Thought,DJ Myosuke,287.99999999999926,0,0,175.0,175.0,175.0,175.0
4,14,Hard,68,(29)-1-(10)-3-(1)-3-(8)-4-(1)-2-(8)-1-(9)-15-(15)-1-(1)-16-(16)-15-(9)-3-(1)-4-(19),12,16,5.666666666666667,5.928871321888775,13,29,9.76923076923077,127,8.348191881617701,195,39,0,0,0,14,6,1949,7.496153846153828,12.0,7.496153846153846,6.75,3.9308190270771863,12.0,5,19,5,1,11,Devil's Gear,DJ Myosuke,260.0000000000006,0,0,180.0,180.0,180.0,180.0
5,15,Challenge,115,(29)-1-(2)-11-(1)-19-(1)-7-(9)-15-(15)-1-(1)-31-(1)-15-(1)-11-(1)-4-(19),10,31,11.5,9.180292902613607,11,29,7.2727272727272725,80,9.67564890941077,195,6,0,0,0,7,4,2305,8.865384615384594,12.75,8.865384615384615,12.0,4.156586405595916,12.0,4,10,4,1,5,Devil's Gear,DJ Myosuke,260.0000000000006,0,0,180.0,180.0,180.0,180.0
6,15,Hard,35,(20)-2-(18)-7-(1)-8-(20)-2-(24)-1-(1)-15-(34),6,15,5.833333333333333,5.344779384283945,7,34,16.857142857142858,118,12.033682886362088,153,3,0,0,13,12,0,1290,7.728758169934627,14.666666666666668,7.7287581699346415,7.333333333333334,4.641777785093978,7.333333333333334,5,14,5,0,4,Energy Bomb,DJ Myosuke & C-Show,166.9090909090912,0,0,220.0,220.0,220.0,220.0
7,18,Challenge,73,(20)-2-(2)-3-(1)-3-(1)-3-(1)-2-(2)-7-(1)-8-(20)-2-(2)-16-(6)-1-(1)-15-(1)-3-(1)-3-(1)-3-(1)-2-(19),15,16,4.866666666666666,4.703595382663088,16,20,5.0,80,7.384668803225594,153,3,0,0,13,12,0,1576,9.442265795206955,14.666666666666668,9.442265795206973,10.083333333333334,5.540143579820697,14.666666666666668,5,13,5,0,3,Energy Bomb,DJ Myosuke & C-Show,166.9090909090912,0,0,220.0,220.0,220.0,220.0
8,16,Hard,62,(14)-1-(1)-7-(1)-7-(3)-5-(1)-8-(38)-1-(32)-1-(14)-1-(1)-16-(14)-1-(1)-7-(1)-7-(5),12,16,5.166666666666667,4.529365464957704,13,38,9.692307692307692,126,12.499230745560673,188,1,0,0,0,28,0,2093,10.205230496453883,14.666666666666668,10.2052304964539,11.0,4.497567918077743,14.666666666666668,0,0,0,0,0,HARDCOREãƒŽå¿ƒå¾—,DJ Myosuke,205.09090909090946,0,0,220.0,220.0,220.0,220.0
9,17,Challenge,93,(14)-1-(1)-7-(1)-7-(1)-1-(1)-5-(1)-8-(38)-1-(1)-15-(1)-16-(14)-1-(1)-16-(14)-1-(1)-7-(1)-7-(5),14,16,6.642857142857143,5.610527780701383,15,38,6.333333333333333,95,10.23067283548187,188,1,0,0,0,17,0,2229,10.868351063829767,14.666666666666668,10.868351063829788,11.458333333333334,4.787662254485296,14.666666666666668,0,0,0,0,0,HARDCOREãƒŽå¿ƒå¾—,DJ Myosuke,205.09090909090946,0,0,220.0,220.0,220.0,220.0
10,13,Hard,41,(28)-1-(1)-1-(1)-7-(8)-1-(8)-7-(27)-1-(8)-1-(2)-6-(16)-16-(13),9,16,4.555555555555555,5.101742621671322,10,28,11.2,112,9.897249898611005,153,18,0,0,1,15,2,1342,6.578431372549009,12.0,6.578431372549019,6.0,3.970954432144391,12.0,15,13,14,23,10,ICEBLAST,DJ Myosuke feat. Filthy,204.00000000000034,0,0,180.0,180.0,180.0,180.0
11,14,Challenge,89,(16)-7-(1)-7-(1)-8-(7)-8-(1)-7-(13)-15-(1)-8-(2)-6-(8)-7-(1)-16-(13),10,16,8.9,3.5418137224371984,11,16,5.818181818181818,64,5.862050525510367,153,6,0,0,1,7,2,1749,8.573529411764692,12.0,8.573529411764707,12.0,4.384002237590105,12.0,12,10,12,18,7,ICEBLAST,DJ Myosuke feat. Filthy,204.00000000000034,0,0,180.0,180.0,180.0,180.0
12,13,Hard,37,(13)-1-(15)-1-(2)-4-(1)-2-(1)-3-(1)-2-(15)-1-(10)-3-(1)-3-(14)-1-(10)-3-(1)-2-(2)-7-(13)-2-(6)-2-(11),15,7,2.466666666666667,1.5522640914238175,16,15,7.25,116,5.848076606885378,153,8,0,0,0,66,0,1335,6.90767973856209,12.666666666666668,6.907679738562092,6.333333333333334,4.032876533847138,12.666666666666668,3,19,3,0,14,Still In My Blood,DJ Myosuke,193.2631578947369,0,0,190.0,190.0,190.0,190.0
13,14,Challenge,68,(13)-1-(15)-1-(2)-4-(1)-2-(1)-3-(1)-2-(2)-7-(1)-3-(2)-1-(2)-3-(1)-3-(1)-3-(1)-3-(14)-1-(2)-7-(1)-3-(1)-2-(2)-7-(9)-6-(2)-6-(11),20,7,3.4,2.087557121815378,21,15,4.0476190476190474,85,4.924187145876875,153,8,0,0,0,47,0,1573,8.13916122004357,12.666666666666668,8.139161220043574,9.5,4.567191880270143,12.666666666666668,0,12,0,0,12,Still In My Blood,DJ Myosuke,193.2631578947369,0,0,190.0,190.0,190.0,190.0
